09/01/2024 16:51:26.216 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0017 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0020 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0024 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0034 : 3
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0037 : 960
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0038 : 540
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0041 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0042 : D:\SteamLibrary\steamapps\common\FFXINA\SquareEnix\FINAL FANTASY XI
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   padguid000 : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/01/2024 16:51:26.216 | DEBUG    |                             Properties::Properties | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                           ChatManager::ChatManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                           FontManager::FontManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                             GuiManager::GuiManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                             Controller::Controller | null.ctor
09/01/2024 16:51:26.216 | DEBUG    |                                     XInput::XInput | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                         InputManager::InputManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                       PacketManager::PacketManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                       PluginManager::PluginManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                     PointerManager::PointerManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                             Properties::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                           InputManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                          OffsetManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                         PointerManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                          MemoryManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                             MemoryManager::Release | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                            ChatManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                          PacketManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                          PluginManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
09/01/2024 16:51:26.216 | DEBUG    |                     Ashita::Hooks::XInput::Install | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                     Ashita::Hooks::XInput::Install | <End> [Status: Ok!]
09/01/2024 16:51:28.025 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 658 x 527]
09/01/2024 16:51:28.025 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 1921 x 1081]
09/01/2024 16:51:28.025 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
09/01/2024 16:52:46.487 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExA | CreateWindowExA - Creating Final Fantasy XI window. [dwExStyle: 0][dwStyle: -2147483648][Pos: -2147483648 x -2147483648][Size: 1920 x 1080]
09/01/2024 16:52:46.643 | DEBUG    |       Ashita::Hooks::DirectX::Mine_Direct3DCreate8 | Direct3DCreate8 - Creating new Direct3D instance. [SDKVersion: 220]
09/01/2024 16:52:46.736 | DEBUG    |                       newIDirect3D8::newIDirect3D8 | .ctor
09/01/2024 16:52:46.736 | DEBUG    |                        newIDirect3D8::CreateDevice | Creating a new graphics device..
09/01/2024 16:52:46.799 | DEBUG    |           newIDirect3DDevice8::newIDirect3DDevice8 | .ctor
09/01/2024 16:52:46.799 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event invoked.
09/01/2024 16:52:46.799 | DEBUG    |                           ResourceManager::Release | <Begin>
09/01/2024 16:52:46.799 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
09/01/2024 16:52:46.799 | DEBUG    |                        ResourceManager::Initialize | <Begin>
09/01/2024 16:52:46.799 | DEBUG    |                           ResourceManager::Release | <Begin>
09/01/2024 16:52:46.799 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
09/01/2024 16:52:46.814 | DEBUG    |                        ResourceManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:46.814 | DEBUG    |                            ResourceManager::Update | <Begin>
09/01/2024 16:52:46.814 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\ashita.datmap.ini
09/01/2024 16:52:46.814 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.datmap.ini
09/01/2024 16:52:46.830 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.datmap.ini
09/01/2024 16:52:47.158 | DEBUG    |                            ResourceManager::Update | Resource parsing completed in: 338.691100ms [Status: 1]
09/01/2024 16:52:47.158 | DEBUG    |                            ResourceManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.158 | DEBUG    |                               InputManager::Update | <Begin>
09/01/2024 16:52:47.158 | DEBUG    |                                       Mouse::Mouse | .ctor
09/01/2024 16:52:47.158 | DEBUG    |                                  Mouse::Initialize | <Begin>
09/01/2024 16:52:47.158 | DEBUG    |                                  Mouse::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:47.158 | DEBUG    |                             InputManager::SetMouse | Setting new mouse instance..
09/01/2024 16:52:47.158 | DEBUG    |                               InputManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.158 | DEBUG    |                              OffsetManager::Update | <Begin>
09/01/2024 16:52:47.158 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\ashita.offsets.ini
09/01/2024 16:52:47.158 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.offsets.ini
09/01/2024 16:52:47.158 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.offsets.ini
09/01/2024 16:52:47.158 | DEBUG    |                              OffsetManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.158 | DEBUG    |                             PointerManager::Update | <Begin>
09/01/2024 16:52:47.158 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\ashita.pointers.ini
09/01/2024 16:52:47.158 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.pointers.ini
09/01/2024 16:52:47.174 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: C:\Github Projects\Ashita-v4beta\\config\\ashita\custom.pointers.ini
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04CAEC5C) [Ok!] autofollow
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04D0AED5) [Ok!] castbar
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04DB6B40) [Ok!] chat.addchatmessage
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04E46590) [Ok!] chat.inputtext.this
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04CA1AA2) [Ok!] chat.logfile
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04E497A0) [Ok!] chat.parseautotranslate
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04D69B85) [Ok!] chat.parseautotranslate.this
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04D107B0) [Ok!] chat.parseinputtext
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04D107D2) [Ok!] chat.parseinputtext.this
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04D07B6C) [Ok!] clientversion
09/01/2024 16:52:47.174 | DEBUG    |                             PointerManager::Update | Pointer: (04686533) [Ok!] config.autodisconnect
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04E478A2) [Ok!] config.languagefilter
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04C939A0) [Ok!] entitymap
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D2537B) [Ok!] entitymap.size
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D7A956) [Ok!] inventory
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04DA7AD5) [Ok!] inventory.selecteditem
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04DEDB62) [Ok!] menu
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D6CC20) [Ok!] packets.decryptbuffer
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D6CAF0) [Ok!] packets.encryptbuffer
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D8B7A0) [Ok!] packets.queuepacket1
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D6D280) [Ok!] packets.queuepacket2
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04E9013B) [Ok!] party
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D2896F) [Ok!] party.statusicons
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04DD5E4A) [Ok!] player
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D75440) [Ok!] player.hasability
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D27874) [Ok!] player.haskeyitem
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D7F470) [Ok!] player.hasspell
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D80380) [Ok!] player.joblevels
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D803C0) [Ok!] player.jobmasterlevels
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D1E28A) [Ok!] player.loginstatus
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D16FEF) [Ok!] player.petmp
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D2C91D) [Ok!] player.pettp
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04EB1824) [Ok!] recast.abilities
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04EB8342) [Ok!] recast.spells
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D0A007) [Ok!] target.settarget
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer: (04D185F3) [Ok!] target.target
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | Pointer scan completed in: 29.281000ms
09/01/2024 16:52:47.190 | DEBUG    |                             PointerManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.190 | DEBUG    |                            FontManager::Initialize | <Begin>
09/01/2024 16:52:47.190 | DEBUG    |                            FontManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:47.190 | DEBUG    |                       PrimitiveManager::Initialize | <Begin>
09/01/2024 16:52:47.190 | DEBUG    |                       PrimitiveManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:47.190 | DEBUG    |                             GuiManager::Initialize | <Begin>
09/01/2024 16:52:47.190 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 18px - is_jp: 0
09/01/2024 16:52:47.190 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 24px - is_jp: 0
09/01/2024 16:52:47.190 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 32px - is_jp: 0
09/01/2024 16:52:47.268 | DEBUG    |                             GuiManager::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                              MemoryManager::Update | <Begin>
09/01/2024 16:52:47.268 | DEBUG    |                              MemoryManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | <Begin>
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | Hooking game function: AddChatMessage
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | Hooking game function: ParseAutoTranslate
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | Hooking game function: ParseInputText
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | Detour transaction result: 0 [Success]
09/01/2024 16:52:47.268 | DEBUG    |                   CommandTaskPool::CommandTaskPool | .ctor
09/01/2024 16:52:47.268 | DEBUG    |                        CommandTaskPool::Initialize | <Begin>
09/01/2024 16:52:47.268 | DEBUG    |                     CommandTaskPool::CreateThreads | Creating task pool; thread count: 16
09/01/2024 16:52:47.268 | DEBUG    |                        CommandTaskPool::Initialize | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                                ChatManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                              PacketManager::Update | <Begin>
09/01/2024 16:52:47.268 | DEBUG    |                              PacketManager::Update | Hooking game function: DecryptBuffer
09/01/2024 16:52:47.268 | DEBUG    |                              PacketManager::Update | Hooking game function: EncryptBuffer
09/01/2024 16:52:47.268 | DEBUG    |                              PacketManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                              PluginManager::Update | <Begin>
09/01/2024 16:52:47.268 | DEBUG    |                              PluginManager::Update | <End> [Status: Ok!]
09/01/2024 16:52:47.268 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event finished.
09/01/2024 16:52:47.363 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
09/01/2024 16:52:47.363 | DEBUG    |               newIDirectInput8A::newIDirectInput8A | .ctor
09/01/2024 16:52:47.363 | DEBUG    |                    newIDirectInput8A::CreateDevice | Creating input device: {6F1D2B61,D5A0,11CF,BF,C7,44,45,53,54,00,00}
09/01/2024 16:52:47.363 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
